S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,70.23538184930055,0.27354368237054183,0.03570903799006509,0.45999999999999996,0.67,315381.6697834109
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,82.94255863937319,0.19103730655745946,0.025551902436549645,0.51,0.7633333333333333,173467.7763378697
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,75.57734469905367,0.18803130290363743,0.02520090501938607,0.4666666666666666,0.6633333333333334,279024.02114335
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,75.17104278614893,0.09573835674635063,0.0071727279127804765,0.51,0.7466666666666667,278021.30498538347
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,61.9051748514668,0.10659440257419696,0.008028833334631709,0.43333333333333335,0.6200000000000001,405324.47749682516
20,0.2,1.0,1.0,deterministic,0.1,tw_dense,3,62.667575980808245,0.27302041644305636,0.034720058604152754,0.41333333333333333,0.62,382266.2845410395
20,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline,3,40.97557494818765,0.19233911478837382,0.025769427693759017,0.3066666666666667,0.5833333333333334,688801.6694630679
20,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,67.15449501876166,0.1887778950399682,0.024963791482544868,0.4133333333333334,0.63,367451.17951776506
20,0.2,1.0,1.0,deterministic,0.1,tw_support_offline,3,73.17210252654785,0.09829415860050893,0.00683458752820857,0.5733333333333334,0.7566666666666667,288957.17367456394
20,0.3,1.0,1.0,deterministic,0.1,exp4_dense,3,69.42408624321052,0.2918149326848931,0.039150722434959234,0.47,0.7133333333333333,345758.5924078785
20,0.3,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,33.20648161116335,0.28714116190904887,0.037693251377987465,0.21333333333333335,0.4533333333333333,694031.8839188697
20,0.3,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,52.99285846131417,0.28647710306080537,0.038062502352088655,0.33,0.5966666666666666,537458.522886747
20,0.3,1.0,1.0,deterministic,0.1,oracle,3,88.0299816268792,0.2871507631796309,0.038466574412009506,0.7399999999999999,0.88,125388.1414286358
20,0.3,1.0,1.0,deterministic,0.1,state_thompson,3,64.94388102572447,0.28321648351751183,0.03763738813096874,0.41,0.64,397869.6463073154
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_dense,3,68.63324098641043,0.2833212243369129,0.03716773656680932,0.42,0.68,312212.8038955471
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,54.23040149808181,0.20507562124219317,0.027898419824006693,0.37999999999999995,0.6333333333333333,521637.86804151995
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,41.55595411233782,0.20569482063390476,0.027963640460163256,0.31666666666666665,0.5833333333333334,621221.6158474261
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,73.40554752951167,0.28559802653723954,0.038109626755133165,0.48,0.6866666666666666,294568.6906445771
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,78.213205230041,0.20731334491169973,0.028151283136396116,0.48333333333333334,0.75,234272.8128164273
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,76.3508041345114,0.2059492400565154,0.028222646497856413,0.49333333333333335,0.7633333333333333,244975.67036471007
